"prior","output"
"35 previous","sprint"
"35 to","40"
"35 year","old"
"35 years","ago"
"350 degree","oven"
"350 degrees","f"
"350 million","casino"
"350 °","f"
"36 0","01"
"36 6","percent"
"36 a","m"
"36 other","cheltenham"
"36 year","old"
"366 i","ve"
"36th district","court"
"37 5","%"
"37 p","m"
"37 year","old"
"375 *","f"
"375 ml","bottles"
"38 39","77"
"38 year","old"
"39 0","00"
"39 avengers","39"
"39 outside","building"
"39 year","old"
"399 caliente","resorts"
"3g saturated","fat"
"3m signing","bonus"
"3rd friday","s"
"3rd winning","pick"
"3wordsforyou you","re"
"3wordsofadvice don","t"
"3x per","week"
"4 &","5"
"4 /","20"
"4 0","1"
"4 00","pm"
"4 000","employees"
"4 05","p"
"4 1","/"
"4 14","15"
"4 15","p"
"4 2","percent"
"4 20","p"
"4 26","12"
"4 3","percent"
"4 30","p"
"4 4","percent"
"4 40","p"
"4 42","0"
"4 45","7"
"4 47","0"
"4 5","million"
"4 50","per"
"4 55","7"
"4 6","p"
"4 7","percent"
"4 8","million"
"4 9","percent"
"4 99","version"
"4 a","m"
"4 above","pp"
"4 and","5"
"4 breaking","bad"
"4 c","+"
"4 cup","sugar"
"4 day","weekend"
"4 days","left"
"4 for","4"
"4 g","fiber"
"4 good","buddy"
"4 hour","drive"
"4 hours","straight"
"4 i","m"
"4 in","one"
"4 it","s"
"4 last","night"
"4 let","s"
"4 letter","word"
"4 million","mexicans"
"4 minutes","add"
"4 more","days"
"4 my","mom"
"4 new","york"
"4 nights","$"
"4 of","14"
"4 on","linden"
"4 or","5"
"4 p","m"
"4 per","cent"
"4 percent","higher"
"4 percentage","points"
"4 points","7"
"4 seconds","left"
"4 teaspoon","pepper"
"4 the","follow"
"4 this","week"
"4 to","$"
"4 u","@"
"4 what","inspired"
"4 x","4"
"4 year","old"
"4 years","ago"
"4 yr","term"
"40 a","m"
"40 at","halftime"
"40 interstate","64"
"40 man","roster"
"40 mile","range"
"40 miles","away"
"40 p","m"
"40 singles","including"
"40 time","4"
"40 to","50"
"40 under","40"
"40 yard","dash"
"40 year","old"
"40 years","ago"
"400 000","jobs"
"400 boulevard","east"
"400 degrees","f"
"400 meter","relay"
"400 relay","team"
"400 to","$"
"401 k","s"
"401 square","foot"
"405 447","2446"
"41 year","old"
"415 864","8643"
"417 rose","ave"
"42 0","03"
"42 a","m"
"42 cents","per"
"42 p","m"
"42 year","old"
"43 0","02"
"43 p","m"
"43 year","old"
"43 years","old"
"44 0","1474"
"44 year","old"
"44 years","ago"
"440 main","st"
"447 2446","www"
"45 0","01"
"45 5","30pm"
"45 7","15"
"45 a","m"
"45 min","wait"
"45 minutes","depending"
"45 p","m"
"45 per","person"
"45 to","$"
"45 year","old"
"45 years","old"
"4525 glenwood","rd"
"46 0","01"
"46 p","m"
"46 was","charged"
"46 year","old"
"47 0","01"
"47 p","m"
"47 percent","increase"
"47 year","old"
"476 in","2010"
"48 %","discount"
"48 0","00"
"48 year","old"
"48 years","old"
"480 948","6377"
"481 million","making"
"4852 to","book"
"49 0","00"
"49 cents","per"
"49 square","mile"
"49 to","go"
"49 year","old"
"4921 www","g1party"
"4th of","july"
"5 $","5"
"5 %","abv"
"5 /","5"
"5 0","first"
"5 00","pm"
"5 000","years"
"5 1","/"
"5 10","p"
"5 11","p"
"5 15","p"
"5 2","brewers"
"5 3","percent"
"5 30","p"
"5 35","billion"
"5 4","million"
"5 45","p"
"5 48","0"
"5 5","million"
"5 6","7"
"5 7","jr"
"5 8","p"
"5 9","p"
"5 a","m"
"5 above","pp"
"5 and","8"
"5 at","5"
"5 billion","annual"
"5 c10","r5"
"5 cents","per"
"5 cups","water"
"5 day","weekends"
"5 days","left"
"5 dollar","ass"
"5 each","way"
"5 feet","tall"
"5 foot","10"
"5 for","5"
"5 free","ebooks"
"5 g","saturated"
"5 gift","card"
"5 hour","energy"
"5 hours","10"
"5 house","mooritas"
"5 i","love"
"5 inch","square"
"5 inches","long"
"5 k","s"
"5 mile","run"
"5 million","people"
"5 minutes","add"
"5 months","ago"
"5 more","days"
"5 nc","state"
"5 o","clock"
"5 of","us"
"5 off","breakfast"
"5 on","5"
"5 or","6"
"5 p","m"
"5 people","suffer"
"5 percent","decline"
"5 pm","|"
"5 second","delay"
"5 star","review"
"5 stay","tuned"
"5 the","new"
"5 times","fast"
"5 to","10"
"5 using","coupon"
"5 w","/"
"5 year","old"
"5 years","ago"
"5 yr","old"
"50 /","50"
"50 0","01"
"50 000","+"
"50 2","30"
"50 a","m"
"50 and","$"
"50 cent","beer"
"50 cents","extra"
"50 it","s"
"50 mi","run"
"50 million","bank"
"50 most","popular"
"50 p","m"
"50 percent","shade"
"50 s","music"
"50 times","already"
"50 to","60"
"50 trainers","ran"
"50 yard","field"
"50 year","old"
"50 years","ago"
"500 000","square"
"500 and","cart"
"500 best","buy"
"500 index","fell"
"500 people","including"
"500 shopping","spree"
"500 sprint","cup"
"500 square","foot"
"500 there","s"
"500 to","$"
"501 000","subscribers"
"501 c","3"
"50am on","91"
"50s and","60s"
"51 0","01"
"51 and","gray"
"51 new","york"
"51 now","totally"
"51 year","old"
"512 722","6136"
"512 873","0447"
"52 0","00"
"52 year","old"
"53 0","01"
"53 4","percent"
"54 p","m"
"54 year","old"
"540 million","dollars"
"5440 s","e"
"55 p","m"
"55 year","old"
"551 587","8482"
"56 a","m"
"56 year","old"
"560 divisadero","st"
"57 0","00"
"57 a","m"
"57 p","m"
"57 year","old"
"58 ounces","/"
"58 p","m"
"58 year","old"
"59 000","last"
"59 p","m"
"5g saturated","fat"
"6 &","7"
"6 /","30"
"6 0","6"
"6 00","pm"
"6 05","p"
"6 09","rt"
"6 1","/"
"6 10","p"
"6 2","6"
"6 25","miles"
"6 3","win"
"6 30","p"
"6 30p","9"
"6 4","million"
"6 40","p"
"6 45","p"
"6 46","0"
"6 49","0"
"6 5","million"
"6 6","3"
"6 7","8"
"6 75","million"
"6 8","percent"
"6 9","p"
"6 95","*"
"6 a","m"
"6 and","19"
"6 be","sure"
"6 billion","budget"
"6 days","away"
"6 don","t"
"6 feet","tall"
"6 foot","6"
"6 for","students"
"6 from","deep"
"6 g","protein"
"6 hour","flight"
"6 hours","old"
"6 i","m"
"6 it","s"
"6 miles","away"
"6 million","bond"
"6 month","old"
"6 months","ago"
"6 more","weeks"
"6 o","clock"
"6 ohio","state"
"6 or","$"
"6 p","m"
"6 percent","sales"
"6 pm","today"
"6 to","10"
"6 x","6"
"6 yadier","molina"
"6 yards","per"
"6 year","old"
"6 years","old"
"6 yo","nephew"
"6 you","can"
"60 000","square"
"60 per","person"
"60 to","65"
"60 year","old"
"60 years","ago"
"60 ?","s"
"600 and","3"
"600 meter","relay"
"602 882","0317"
"608 244","1822"
"60s and","70s"
"61 year","old"
"619 562","5848"
"62 m","p"
"62 year","old"
"63 to","68"
"63 year","old"
"63f partly","cloudy"
"64 1","/"
"64 year","old"
"640 million","haha"
"646 397","9817"
"646 833","8085"
"65 70","%"
"65 and","older"
"65 miles","away"
"65 or","older"
"65 this","year"
"65 to","67"
"65 year","old"
"65 years","old"
"66 game","season"
"66 gas","station"
"66 percent","pay"
"66 year","old"
"678 668","0075"
"68 year","old"
"69 $","divorce"
"69 year","old"
"6pm $","12"
"6th congressional","district"
"6th district","court"
"6th grade","dance"
"7 %","stake"
"7 /","7"
"7 0","1"
"7 00","pm"
"7 000","square"
"7 1","/"
"7 10","p"
"7 15","p"
"7 2","percent"
"7 3","percent"
"7 30","p"
"7 30pm","pst"
"7 4","million"
"7 40","p"
"7 43","0"
"7 45","8"
"7 49","0"
"7 5","percent"
"7 52","0"
"7 55","10"
"7 6","0"
"7 7","million"
"7 8","30"
"7 800","square"
"7 9","p"
"7 95","corn"
"7 99","amazon"
"7 a","m"
"7 adoption","event"
"7 adults","$"
"7 and","8"
"7 don","t"
"7 for","ages"
"7 g","saturated"
"7 game","series"
"7 i","don"
"7 it","s"
"7 kiss","fm"
"7 last","night"
"7 lbs","9"
"7 million","people"
"7 month","old"
"7 o","clock"
"7 or","8"
"7 p","m"
"7 per","cent"
"7 percent","increase"
"7 percentage","points"
"7 random","things"
"7 run","kick"
"7 seconds","left"
"7 that","s"
"7 to","10"
"7 year","old"
"7 years","old"
"70 degree","day"
"70 s","show"
"70 year","old"
"70 years","old"
"700 year","old"
"70s and","80s"
"71 ben","white"
"71 year","old"
"716 4646","please"
"72 day","marriage"
"72 year","old"
"720 monroe","st"
"727 474","9988"
"73 year","old"
"75 +","years"
"75 000","bail"
"75 n","second"
"75 that","s"
"75 weave","braids"
"75 year","old"
"75 years","ago"
"76 with","4"
"76 year","old"
"77 years","old"
"78 year","old"
"79 at","$"
"79 orlando","died"
"7916 se","foster"
"7pm $","3"
"7pm i","wish"
"7pm live","music"
"7th round","pick"
"8 $","7"
"8 %","chance"
"8 /","3"
"8 0","run"
"8 00","p"
"8 000","people"
"8 1","/"
"8 10","minutes"
"8 11","pm"
"8 15","p"
"8 2","percent"
"8 20","p"
"8 28","0"
"8 3","5"
"8 30","p"
"8 30am","4"
"8 4","%"
"8 42","0"
"8 44","0"
"8 45","p"
"8 46","0"
"8 5","percent"
"8 55","pm"
"8 6","million"
"8 7","percent"
"8 9","%"
"8 a","m"
"8 and","10"
"8 cycles","per"
"8 degrees","c"
"8 don","t"
"8 i","m"
"8 large","school"
"8 megapixel","camera"
"8 million","penalty"
"8 o","clock"
"8 of","10"
"8 or","9"
"8 p","m"
"8 per","cent"
"8 percent","compared"
"8 runs","per"
"8 the","first"
"8 to","$"
"8 year","old"
"8 years","old"
"8 you","know"
"8 yr","old"
"80 /","20"
"80 000","people"
"80 an","hour"
"80 degree","day"
"80 degrees","outside"
"80 g","sugar"
"80 s","music"
"80 to","90"
"80 year","old"
"80 years","old"
"80 ?","s"
"800 457","kids"
"800 745","3000"
"800 and","1"
"800 relay","team"
"800 square","foot"
"800 u","s"
"80s and","90s"
"818 602","7979"
"82 year","old"
"83 year","old"
"839 4921","www"
"83k just","reply"
"84 year","old"
"8482 or","visit"
"85 year","old"
"86 year","old"
"860 000","03"
"877 527","5737"
"88 5","fm"
"88 year","old"
"888 493","0004"
"8890 mcgaw","road"
"8pm it","s"
"8th grade","dance"
"8th i","will"
"8th inch","thick"
"8th of","may"
"8th ohio","district"
"9 /","11"
"9 0","run"
"9 00","pm"
"9 000","square"
"9 1","percent"
"9 10","10"
"9 11","1"
"9 15","p"
"9 2","million"
"9 2011","oct"
"9 28","0"
"9 3","/"
"9 30","p"
"9 36","0"
"9 4","percent"
"9 40","p"
"9 45","p"
"9 46","0"
"9 49","0"
"9 5","million"
"9 7","2"
"9 9","percent"
"9 a","m"
"9 abba","songs"
"9 and","9"
"9 by","13"
"9 cents","per"
"9 days","left"
"9 doesn","t"
"9 g","fat"
"9 i","m"
"9 inch","springform"
"9 it","s"
"9 million","pounds"
"9 months","premature"
"9 more","days"
"9 o","clock"
"9 on","may"
"9 p","m"
"9 percent","increase"
"9 points","per"
"9 the","buzz"
"9 to","5"
"9 year","old"
"9 years","old"
"90 %","chance"
"90 /","10"
"90 days","behind"
"90 minute","drive"
"90 second","biographical"
"90 year","old"
"90 years","old"
"90 ?","s"
"90s don","t"
"90s r","&"
"91 a","barrel"
"919 633","2606"
"95 %","sure"
"95 *","chili"
"95 corn","beef"
"95 dessert","$"
"95 it","s"
"95 to","$"
"95 was","topped"
"96 year","old"
"961 5450","$"
"972 839","4921"
"98 blu","ray"
"98 million","gallons"
"99 %","sure"
"99 9","%"
"99 after","4"
"99 and","$"
"99 i","m"
"99 to","$"
"99 year","old"
"9am to","5pm"
"9pm $","5"
"9th u","s"
"< 3","<"
"< 33","happy"
"< 333","thank"
"< 3333","thanks"
"< 333333","just"
"< belinda","jackson"
"< sigh",">"
"<<< that","s"
"> eat",">"
"> i","m"
"> t",">"
">>>>> <","3"
"@ 11","30"
"@ 3rd","&"
"@ 4","30"
"@ 5","pm"
"@ 6","30"
"@ 602","882"
"@ 7","30pm"
"@ 8","30pm"
"@ aol","com"
"@ arizonarepublic","com"
"@ cox","net"
"@ diamonds","&"
"@ firehook","bakery"
"@ freepress","com"
"@ gmail","com"
"@ hard","rock"
"@ home","phoenixville"
"@ hotmail","com"
"@ http","//"
"@ ocregister","com"
"@ ohr","state"
"@ onechicmama","com"
"@ plaind","com"
"@ red","kiva"
"@ sbcglobal","net"
"@ the","fillmore"
"@ this","point"
"@ tranquilpc","co"
"@ tribune","com"
"@ w","/"
"@ www","myvegaspeople"
"@ yahoo","com"
"[ 1944","]"
"[ 2010","]"
"[ a","]"
"[ are","]"
"[ at","]"
"[ campus","bulletin"
"[ dot","]"
"[ expert","]"
"[ hd","]"
"[ video","]"
"\ m","/"
"] ewca","civ"
"] i","m"
"] it","s"
"^ ^","good"
"^ h","^"
"a $","1"
"a &","m"
"a **","hole"
"a +","1"
"a /","b"
"a 1","0"
"a 10","year"
"a 100","%"
"a 11","percent"
"a 12","year"
"a 120","foot"
"a 13","year"
"a 14","year"
"a 15","year"
"a 16","year"
"a 17","year"
"a 19","year"
"a 2","1"
"a 20","year"
"a 2005","study"
"a 2007","report"
"a 2008","study"
"a 2011","12"
"a 21","year"
"a 21st","century"
"a 22","year"
"a 23","year"
"a 24","hour"
"a 25","year"
"a 250","hitter"
"a 26","year"
"a 27","year"
"a 28","year"
"a 29","year"
"a 2nd","chance"
"a 3","0"
"a 30","year"
"a 300","year"
"a 31","year"
"a 32","year"
"a 33","year"
"a 34","year"
"a 35","year"
"a 36","year"
"a 37","year"
"a 38","year"
"a 39","year"
"a 4","3"
"a 40","year"
"a 42","year"
"a 44","year"
"a 45","year"
"a 47","percent"
"a 5","year"
"a 50","%"
"a 51","31"
"a 53","year"
"a 55","year"
"a 56","year"
"a 58","year"
"a 5k","run"
"a 6","foot"
"a 60","percent"
"a 600","page"
"a 61","year"
"a 66","percent"
"a 7","year"
"a 70","%"
"a 75","year"
"a 78","year"
"a 7th","grader"
"a 9","inch"
"a 90","%"
"a 911","call"
"a 95","year"
"a a","man"
"a amazing","voice"
"a and","b"
"a artsy","reply"
"a awesome","day"
"a awsome","account"
"a b","ball"
"a baby","s"
"a bachelor","s"
"a back","door"
"a backstreet","boys"
"a backup","plan"
"a bad","thing"
"a bag","full"
"a bake","sale"
"a baked","potato"
"a baker","s"
"a baking","sheet"
"a balanced","budget"
"a ball","hawk"
"a band","called"
"a bank","account"
"a bankruptcy","filing"
"a barely","audible"
"a barrel","roll"
"a base","level"
"a baseball","bat"
"a bases","loaded"
"a basic","level"
"a basket","filled"
"a basketball","team"
"a bath","tub"
"a bathing","suit"
"a battery","operated"
"a bday","party"
"a beach","somewhere"
"a bean","bag"
"a bearded","man"
"a bears","fan"
"a beatles","song"
"a beautiful","day"
"a bed","&"
"a bedtime","story"
"a beer","pong"
"a beginner","s"
"a below","grade"
"a best","friend"
"a beta","blocker"
"a better","person"
"a beverly","hills"
"a bfmusicfactoid","today"
"a bicycle","‘"
"a big","deal"
"a bigger","size"
"a bike","ride"
"a biker","gang"
"a bill","can"
"a billing","address"
"a billion","dollars"
"a bird","without"
"a birth","certificate"
"a birthday","present"
"a bit","like"
"a bitch","thanks"
"a black","woman"
"a blank","screen"
"a blast","working"
"a blessed","day"
"a blind","man"
"a block","away"
"a blog","post"
"a blogger","challenge"
"a blood","clot"
"a blue","collar"
"a board","member"
"a boarding","school"
"a boat","ride"
"a bob","marley"
"a boil","add"
"a bomb","threat"
"a bona","fide"
"a bond","issue"
"a bonding","bill"
"a book","called"
"a boot","camp"
"a boss","thanks"
"a bottle","opener"
"a bounty","program"
"a bowl","game"
"a bowling","alley"
"a box","full"
"a boy","s"
"a brain","injury"
"a brand","new"
"a brave","man"
"a breakfast","sandwich"
"a breaking","point"
"a breast","cancer"
"a breath","taking"
"a brick","wall"
"a brief","period"
"a bright","red"
"a brighter","future"
"a brightly","lit"
"a british","passport"
"a broad","topic"
"a brogue","kick"
"a broken","leg"
"a broncos","rookie"
"a bronze","medal"
"a brown","paper"
"a brutal","attack"
"a bubble","bath"
"a bud","light"
"a budget","crisis"
"a bug","s"
"a building","s"
"a bullet","train"
"a bulletin","board"
"a bullpen","session"
"a bunch","just"
"a bundt","pan"
"a burlesque","show"
"a burning","bush"
"a bus","back"
"a business","trip"
"a busy","weekend"
"a buyer","s"
"a buzz","cut"
"a by","product"
"a bygone","era"
"a c","e"
"a cabaret","act"
"a cake","walk"
"a california","company"
"a call","back"
"a caller","said"
"a campaign","stop"
"a camping","trip"
"a cancer","patient"
"a candidate","s"
"a candlelight","vigil"
"a candy","bar"
"a canine","companion"
"a canon","eos"
"a captive","audience"
"a car","accident"
"a card","game"
"a cardboard","box"
"a cardiac","arrest"
"a career","high"
"a carlo","s"
"a case","study"
"a cash","strapped"
"a casting","director"
"a casual","family"
"a cat","bus"
"a catch","22"
"a category","5"
"a catholic","church"
"a cautionary","tale"
"a cd","release"
"a cease","fire"
"a ceiling","fan"
"a cell","phone"
"a central","role"
"a century","ago"
"a cerebral","artery"
"a certain","way"
"a certified","financial"
"a chalk","board"
"a champagne","flute"
"a champions","league"
"a championship","team"
"a chance","2"
"a change","agent"
"a character","like"
"a charging","decision"
"a charity","event"
"a chart","topping"
"a chat","room"
"a chatear","latino"
"a cheater","always"
"a check","mark"
"a cheering","crowd"
"a chef","s"
"a chemical","imbalance"
"a chicago","based"
"a chicken","coop"
"a child","s"
"a childhood","friend"
"a children","s"
"a chill","day"
"a chinese","restaurant"
"a chip","shot"
"a chocolate","bar"
"a choke","hold"
"a chorus","line"
"a christmas","carol"
"a church","service"
"a cinco","de"
"a circle","k"
"a circular","motion"
"a circus","freak"
"a citizen","s"
"a citizens","group"
"a city","like"
"a civil","rights"
"a civilized","society"
"a class","act"
"a classic","case"
"a classically","trained"
"a classroom","teacher"
"a cleaner","better"
"a clear","conscience"
"a clearer","picture"
"a cleveland","man"
"a clever","girl"
"a climbing","wall"
"a clinical","trial"
"a clockwork","orange"
"a close","friend"
"a closed","door"
"a closer","look"
"a clothing","line"
"a cloudy","day"
"a co","worker"
"a coach","s"
"a coalition","government"
"a cocktail","party"
"a coffee","shop"
"a cold","winter"
"a collaborative","project"
"a college","student"
"a color","scheme"
"a coloring","book"
"a combined","total"
"a come","back"
"a comfort","food"
"a comic","book"
"a commanding","lead"
"a comment","telling"
"a commercial","real"
"a committed","public"
"a common","occurrence"
"a community","center"
"a company","s"
"a compassionate","heart"
"a competitive","race"
"a complete","stranger"
"a completely","different"
"a complex","issue"
"a complicated","subject"
"a comprehensive","plan"
"a computer","program"
"a concept","like"
"a concerted","effort"
"a condensed","version"
"a condition","called"
"a condominium","complex"
"a conference","call"
"a confirmed","bachelor"
"a conga","line"
"a conscious","effort"
"a consent","agreement"
"a considerable","lack"
"a consistent","pattern"
"a conspiracy","theorist"
"a constant","struggle"
"a constitutional","amendment"
"a construction","worker"
"a constructive","way"
"a consumer","advocate"
"a contact","email"
"a content","expert"
"a contingency","plan"
"a continuous","loop"
"a contract","extension"
"a contributing","editor"
"a control","freak"
"a controlled","dangerous"
"a controlling","interest"
"a conversation","rather"
"a cookie","sheet"
"a cooking","class"
"a cool","breeze"
"a cooling","rack"
"a coordinated","effort"
"a coroner","s"
"a costume","contest"
"a council","vote"
"a country","music"
"a couple","weeks"
"a coupon","code"
"a court","order"
"a cover","letter"
"a cowboy","hat"
"a coworker","s"
"a cozy","blanket"
"a crack","head"
"a crappy","day"
"a crash","course"
"a crazy","night"
"a creamy","consistency"
"a creative","man"
"a credit","card"
"a creek","bed"
"a crime","wave"
"a criminal","investigation"
"a crisp","white"
"a critical","mass"
"a cross","roads"
"a crowd","pleaser"
"a crucial","role"
"a cruel","hoax"
"a cruise","ship"
"a crystal","clear"
"a ct","scan"
"a cub","scout"
"a cuff","bracelet"
"a culinary","journey"
"a cult","leader"
"a cultural","icon"
"a curious","lack"
"a curling","iron"
"a custom","made"
"a customer","s"
"a cute","little"
"a cutting","board"
"a cuyahoga","county"
"a d","d"
"a daily","basis"
"a dairy","queen"
"a dallas","based"
"a damn","good"
"a damp","towel"
"a dangerous","method"
"a dark","alley"
"a data","center"
"a date","right"
"a dating","website"
"a daunting","prospect"
"a day","earlier"
"a de","facto"
"a dead","end"
"a deadly","weapon"
"a deal","breaker"
"a dear","friend"
"a death","sentence"
"a debit","card"
"a decade","ago"
"a december","2009"
"a decent","job"
"a dedicated","member"
"a deep","breath"
"a defeating","effect"
"a defense","mechanism"
"a defensive","tackle"
"a definite","time"
"a delicate","balance"
"a delicious","dinner"
"a delivery","charge"
"a democratic","society"
"a democratically","elected"
"a denny","s"
"a dental","office"
"a dentist","s"
"a department","spokesman"
"a deserted","island"
"a designated","driver"
"a designer","can"
"a desperate","attempt"
"a detroit","bound"
"a developer","seeking"
"a developing","country"
"a development","project"
"a devil","town"
"a diagnostic","test"
"a dice","game"
"a diet","/"
"a difference","maker"
"a different","story"
"a difficult","time"
"a digital","strategy"
"a diluted","share"
"a dining","room"
"a dinner","party"
"a direct","message"
"a directly","elected"
"a director","s"
"a dirt","road"
"a dirty","game"
"a discount","code"
"a discounted","price"
"a disney","princess"
"a distance","away"
"a distant","second"
"a disturbing","image"
"a dive","bar"
"a diverse","group"
"a diving","stop"
"a dizzying","array"
"a dj","&"
"a doctor","s"
"a documentary","filmmaker"
"a dog","barking"
"a doggy","bag"
"a domestic","violence"
"a don","t"
"a donation","box"
"a done","deal"
"a donor","advised"
"a donut","shop"
"a doo","wop"
"a double","play"
"a down","payment"
"a downtown","casino"
"a downward","spiral"
"a dozen","people"
"a dr","pepper"
"a dragon","fruit"
"a drama","series"
"a dramatic","turn"
"a dream","come"
"a dreamer","always"
"a dress","rehearsal"
"a drink","sometime"
